company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
Deliveroo,Food,Post-IPO,1700.0,Europe,5,0.6212121212121211,2.090909090909091,twice,large
DataRails,Finance,Series B,103.0,Asia,3,-0.2901234567901234,-0.006172839506172867,once,small
Enjoy,Retail,Post-IPO,310.0,North America,3,-0.32978723404255317,0.1170212765957448,once,medium
Hugging Face,AI,Series D,395.0,North America,0,-0.09090909090909083,-0.6363636363636364,once,medium
Ocavu,Crypto,Series A,11.0,North America,3,-0.26190476190476186,0.7142857142857144,once,tiny
Earnin,Finance,Series C,190.0,North America,5,-0.2901234567901234,1.9938271604938271,once,medium
Reali,Real Estate,Series B,117.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,small
Namely,HR,Series E,217.0,North America,5,-0.2058823529411764,1.7647058823529411,once,medium
Gem,Recruiting,Series C,148.0,North America,3,-0.47058823529411775,-0.6470588235294117,once,small
Salsify,Retail,Series D,452.0,North America,5,0.6702127659574468,2.117021276595745,twice,medium
Noogata,AI,Series A,28.0,Asia,0,-0.09090909090909083,-0.6363636363636364,once,tiny
Candy Digital,Crypto,Series A,100.0,North America,3,-0.26190476190476186,0.7142857142857144,once,small
Zeplin,Product,Seed,1.0,North America,2,-0.19047619047619047,-0.9523809523809526,once,tiny
Epic Games,Consumer,Unknown,6400.0,North America,2,-0.3833333333333333,-0.4833333333333334,once,large
Varonis,Security,Post-IPO,30.0,North America,3,-0.21818181818181825,0.8363636363636364,once,tiny
Waymo,Transportation,Subsidiary,5500.0,North America,2,-0.45833333333333326,-0.9444444444444446,once,large
Next Insurance,Finance,Series E,881.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,large
Chargebee,Finance,Series H,468.0,North America,2,0.7098765432098766,-1.0061728395061729,twice,medium
Jiobit,Consumer,Unknown,12.0,North America,5,-0.3833333333333333,2.5166666666666666,once,tiny
Liftoff,Marketing,Acquired,6.0,North America,3,-0.2857142857142858,-0.18181818181818166,once,tiny
Nextdoor,Consumer,Post-IPO,736.0,North America,0,-0.3833333333333333,-2.4833333333333334,once,large
Polygon,Crypto,Unknown,451.0,Asia,2,-0.26190476190476186,-0.2857142857142856,once,medium
Deep Instinct,Security,Unknown,322.0,Asia,0,-0.21818181818181825,-2.1636363636363636,once,medium
Canoo,Transportation,Post-IPO,300.0,North America,3,-0.45833333333333326,0.05555555555555536,once,medium
Zenefits,HR,Series C,583.0,North America,5,-0.2058823529411764,1.7647058823529411,once,large
Oriente,Finance,Series B,175.0,Asia,5,-0.2901234567901234,1.9938271604938271,once,medium
American Robotics,Other,Acquired,92.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,small
Dynamic Signal,HR,Series E,114.0,North America,5,-0.2058823529411764,1.7647058823529411,once,small
BlockFi,Crypto,Series E,1000.0,North America,3,-0.26190476190476186,0.7142857142857144,once,large
Baton,Transportation,Series A,13.0,North America,3,-0.45833333333333326,0.05555555555555536,once,tiny
Bright Machines,Data,Unknown,250.0,Asia,3,-0.2195121951219512,0.04878048780487809,once,medium
Freetrade,Finance,Unknown,133.0,Europe,3,-0.2901234567901234,-0.006172839506172867,once,small
Community,Marketing,Unknown,40.0,North America,3,-0.2857142857142858,-0.18181818181818166,once,tiny
AppsFlyer,Data,Unknown,293.0,North America,0,-0.2195121951219512,-2.951219512195122,once,medium
Priceline,Travel,Acquired,77.0,North America,1,-0.43333333333333335,-2.7,once,small
Pie Insurance,Finance,Series D,621.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,large
